PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;
oct-24;;;;;;;;
(Número y Monto en miles de $);;;;;;;;
;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$
8;8207;TIRUA;533;114.075;599;127.594;1.132;241.670
8;8301;LOS ANGELES;10.892;2.294.736;14.376;3.037.379;25.268;5.332.116
8;8302;ANTUCO;294;61.994;386;81.768;680;143.762
8;8303;CABRERO;1.816;384.735;2.175;462.287;3.991;847.022
8;8304;LAJA;1.609;336.746;2.041;434.482;3.650;771.228
8;8305;MULCHEN;1.780;378.829;2.328;492.519;4.108;871.348
8;8306;NACIMIENTO;1.808;381.851;1.979;421.469;3.787;803.320
8;8307;NEGRETE;602;128.409;688;147.283;1.290;275.692
8;8308;QUILACO;341;72.553;401;85.049;742;157.602
8;8309;QUILLECO;637;135.618;812;171.266;1.449;306.884
8;8310;SAN ROSENDO;258;54.993;321;68.171;579;123.164
8;8311;SANTA BARBARA;937;199.381;1.142;243.363;2.079;442.744
8;8312;TUCAPEL;991;209.696;1.267;269.439;2.258;479.135
8;8313;YUMBEL;1.798;379.901;2.169;460.339;3.967;840.239
8;8314;ALTO BIO BIO;254;54.304;260;55.535;514;109.839
9;9101;TEMUCO;13.204;2.774.336;20.617;4.348.980;33.821;7.123.316
9;9102;CARAHUE;1.927;411.803;2.323;495.829;4.250;907.632
9;9103;CUNCO;1.464;312.259;1.809;383.956;3.273;696.215
9;9104;CURARREHUE;589;125.758;622;132.890;1.211;258.648
9;9105;FREIRE;1.694;361.339;1.967;418.951;3.661;780.290
9;9106;GALVARINO;898;191.897;940;200.376;1.838;392.272
9;9107;GORBEA;1.135;240.711;1.434;305.763;2.569;546.475
9;9108;LAUTARO;1.929;408.351;2.852;602.594;4.781;1.010.945
9;9109;LONCOCHE;1.621;344.924;2.041;434.167;3.662;779.091
9;9110;MELIPEUCO;591;126.566;680;144.790;1.271;271.356
9;9111;NUEVA IMPERIAL;2.418;514.661;2.943;625.052;5.361;1.139.713
9;9112;PADRE LAS CASAS;3.316;705.390;4.511;958.920;7.827;1.664.310
9;9113;PERQUENCO;365;77.393;483;102.227;848;179.620
9;9114;PITRUFQUEN;1.647;351.109;2.223;473.095;3.870;824.204
9;9115;PUCON;1.506;316.845;1.856;390.895;3.362;707.740
9;9116;PUERTO SAAVEDRA;984;210.080;1.048;224.205;2.032;434.285
9;9117;TEODORO SCHMIDT;1.246;266.117;1.304;277.933;2.550;544.050
9;9118;TOLTEN;835;178.114;881;187.057;1.716;365.171
9;9119;VILCUN;1.433;305.178;1.946;411.148;3.379;716.326
9;9120;VILLARRICA;3.783;797.505;4.734;1.003.855;8.517;1.801.360
9;9121;CHOLCHOL;774;165.504;868;185.310;1.642;350.814
9;9201;ANGOL;3.061;647.013;4.140;873.055;7.201;1.520.067
9;9202;COLLIPULLI;1.280;272.748;1.809;379.187;3.089;651.936
9;9203;CURACAUTIN;1.322;280.209;1.829;388.319;3.151;668.528
9;9204;ERCILLA;425;90.992;513;108.237;938;199.229
9;9205;LONQUIMAY;771;164.199;841;179.444;1.612;343.644
9;9206;LOS SAUCES;532;113.802;576;122.130;1.108;235.932
9;9207;LUMACO;599;128.223;644;136.223;1.243;264.446
9;9208;PUREN;801;170.283;1.097;232.024;1.898;402.308
9;9209;RENAICO;579;123.475;747;158.666;1.326;282.141
