PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;;;;;;;;;;;;;;
dic-24;;;;;;;;;;;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$;;;;;;;;;;;;;
5;5403;PAPUDO;107;22.930;178;38.145;285;61.074;319;65.569;318;67.512;637;133.081;426;88.498;496;105.657;922;194.155;
5;5404;PETORCA;133;28.101;324;69.051;457;97.151;481;100.667;506;107.676;987;208.343;614;128.767;830;176.727;1.444;305.494;
5;5405;ZAPALLAR;78;16.715;220;47.145;298;63.860;423;86.862;360;75.725;783;162.587;501;103.577;580;122.870;1.081;226.447;
5;5501;QUILLOTA;885;189.407;2.303;492.447;3.188;681.855;4.416;919.157;5.127;1.079.961;9.543;1.999.118;5.301;1.108.564;7.430;1.572.409;12.731;2.680.973;
5;5502;LA CALERA;635;135.982;1.705;364.386;2.340;500.368;2.651;552.386;2.820;598.462;5.471;1.150.848;3.286;688.369;4.525;962.848;7.811;1.651.216;
5;5503;HIJUELAS;310;66.271;470;100.719;780;166.990;800;169.701;687;146.695;1.487;316.396;1.110;235.971;1.157;247.415;2.267;483.386;
5;5504;LA CRUZ;145;30.890;367;78.647;512;109.536;784;162.059;805;170.277;1.589;332.335;929;192.948;1.172;248.923;2.101;441.872;
5;5506;NOGALES;188;40.259;574;123.006;762;163.265;1.186;245.610;1.025;214.905;2.211;460.515;1.374;285.869;1.599;337.910;2.973;623.780;
5;5601;SAN ANTONIO;1.084;231.848;2.587;550.350;3.671;782.198;4.321;900.948;5.081;1.066.997;9.402;1.967.945;5.405;1.132.796;7.668;1.617.347;13.073;2.750.143;
5;5602;ALGARROBO;286;61.239;528;112.570;814;173.809;903;176.543;1.041;214.360;1.944;390.903;1.189;237.782;1.569;326.929;2.758;564.712;
5;5603;CARTAGENA;442;94.719;768;163.417;1.210;258.136;1.286;270.108;1.246;263.478;2.532;533.586;1.728;364.827;2.014;426.895;3.742;791.722;
5;5604;EL QUISCO;324;69.380;610;129.999;934;199.379;1.223;250.324;1.264;264.502;2.487;514.826;1.547;319.704;1.874;394.501;3.421;714.205;
